Precinct Name,PRCT,TOTVOTING,USPRSR,USPRSDFL,USPRSGP,Year,VTDID (not),VTDID
BUTTERNUT VALLEY TWP,15,194,92,92,1,2008,270070015,
CAMBRIA TWP,20,161,68,88,0,2008,270070020,
CERESCO TWP,25,113,65,41,0,2008,270070025,
DANVILLE TWP,30,159,85,69,1,2008,270070030,
DECORIA TWP,35,689,355,314,1,2008,270070035,
EAGLE LAKE,40,1216,587,597,0,2008,270070040,
GARDEN CITY TWP,45,427,216,200,0,2008,270070045,
GOOD THUNDER,50,306,125,164,3,2008,270070050,
JAMESTOWN TWP,55,442,230,204,1,2008,270070055,
JUDSON TWP,60,356,160,177,3,2008,270070060,
LAKE CRYSTAL,65,1325,535,757,3,2008,270070065,
LE RAY TWP,70,442,217,208,1,2008,270070070,
LIME TWP,75,765,390,349,1,2008,270070075,
LINCOLN TWP,80,116,73,40,0,2008,270070080,
LYRA TWP,85,197,109,82,0,2008,270070085,
MCPHERSON TWP,90,241,120,116,0,2008,270070090,
MADISON LAKE,95,530,211,304,1,2008,270070095,
MANKATO  W-02 P-01,100,74,19,50,1,2008,270070100,
MANKATO  W-02 P-02,105,1828,546,1201,10,2008,270070105,
MANKATO  W-02 P-03,106,2406,1021,1325,5,2008,270070106,
MANKATO  W-04 P-04,110,1036,476,521,5,2008,270070110,
MANKATO  W-04 P-05,115,1257,481,739,3,2008,270070115,
MANKATO  W-04 P-06,120,1218,339,826,3,2008,270070120,
MANKATO  W-01 P-07,125,1747,711,978,5,2008,270070125,
MANKATO  W-01 P-08,130,1342,492,819,1,2008,270070130,
MANKATO  W-01 P-09,135,1452,623,792,3,2008,270070135,
MANKATO  W-05 P-10,140,367,118,238,1,2008,270070140,
MANKATO  W-05 P-11,145,1694,636,1010,3,2008,270070145,
MANKATO  W-05 P-12,150,601,195,380,5,2008,270070150,
MANKATO  W-05 P-13,155,1219,455,724,1,2008,270070155,
MANKATO  W-03 P-14,160,1198,377,789,5,2008,270070160,
MANKATO  W-03 P-15,165,1371,618,733,1,2008,270070165,
MANKATO  W-03 P-16,170,707,300,395,2,2008,270070170,
MANKATO  W-03 P-17,175,1063,403,635,2,2008,270070175,
MANKATO  W-03 P-18,180,780,289,473,1,2008,270070180,
MANKATO  W-02 P-19,185,4,0,4,0,2008,270070185,
MANKATO TWP,195,1265,634,593,4,2008,270070195,
MAPLETON,200,869,371,478,2,2008,270070200,
MAPLETON TWP,205,144,79,60,0,2008,270070205,
MEDO TWP,210,181,102,69,0,2008,270070210,
MINNESOTA LAKE,212,2,1,1,0,2008,270070212,
PEMBERTON,215,117,60,52,0,2008,270070215,
PLEASANT MOUND TWP,220,133,85,41,0,2008,270070220,
RAPIDAN TWP,225,717,388,309,4,2008,270070225,
SAINT CLAIR,230,477,182,269,1,2008,270070230,
SHELBY TWP,235,179,92,83,0,2008,270070235,
SKYLINE,240,203,90,110,0,2008,270070240,
SOUTH BEND TWP,245,803,382,391,6,2008,270070245,
STERLING TWP,250,187,115,66,0,2008,270070250,
VERNON CENTER,255,192,96,89,0,2008,270070255,
VERNON CENTER TWP,260,144,79,59,0,2008,270070260,
ALBIN TWP,5,155,97,56,0,2008,270080005,
BASHAW TWP,10,135,81,47,0,2008,270080010,
BURNSTOWN TWP,15,130,83,43,0,2008,270080015,
COBDEN,20,14,5,9,0,2008,270080020,
COMFREY,25,214,107,99,1,2008,270080025,
COTTONWOOD TWP,30,482,275,191,1,2008,270080030,
EDEN TWP,35,144,100,36,1,2008,270080035,
EVAN,40,37,14,19,0,2008,270080040,
HANSKA,45,225,73,141,1,2008,270080045,
HOME TWP,50,291,228,61,0,2008,270080050,
LAKE HANSKA TWP,55,169,73,94,1,2008,270080055,
LEAVENWORTH TWP,60,160,113,43,0,2008,270080060,
LINDEN TWP,65,161,87,66,1,2008,270080065,
MILFORD TWP,70,448,271,167,0,2008,270080070,
MULLIGAN TWP,75,110,52,52,0,2008,270080075,
NEW ULM W-1 P-1,80,800,389,390,3,2008,270080080,
NEW ULM W-1 P-2,85,848,406,408,4,2008,270080085,
NEW ULM W-2 P-1,90,777,357,387,3,2008,270080090,
NEW ULM W-2 P-2,95,863,416,422,1,2008,270080095,
NEW ULM W-3 P-1,100,1277,666,574,1,2008,270080100,
NEW ULM W-3 P-2,105,800,385,391,1,2008,270080105,
NEW ULM W-4 P-1,110,827,410,391,2,2008,270080110,
NEW ULM W-4 P-2,115,1234,781,426,1,2008,270080115,
NORTH STAR TWP,120,137,106,29,0,2008,270080120,
PRAIRIEVILLE TWP,125,168,124,34,0,2008,270080125,
SIGEL TWP,130,203,125,74,0,2008,270080130,
SLEEPY EYE W-1,135,706,358,329,2,2008,270080135,
SLEEPY EYE W-2,140,896,541,340,2,2008,270080140,
SPRINGFIELD W-1,145,475,263,194,1,2008,270080145,
SPRINGFIELD W-2,150,537,279,238,2,2008,270080150,
STARK TWP,155,171,136,31,1,2008,270080155,
STATELY TWP,160,86,55,27,0,2008,270080160,
ATKINSON TWP,5,232,103,121,0,2008,270090005,
AUTOMBA TWP,10,80,27,49,0,2008,270090010,
BARNUM,15,289,96,179,0,2008,270090015,
BARNUM TWP,20,646,257,371,1,2008,270090020,
BESEMAN TWP,25,50,18,30,0,2008,270090025,
