Room,WeekDay,Time,Course,Section,Instructor,Dates
GI302,Tuesday,1400 - 1520,DSCI325 - Management of Structured Data,1,Kerby,01/13/2020 - 05/01/2020
GI302,Wednesday,0900 - 0950,STAT110 - Fundamentals of Statistics,4,Kerby,01/13/2020 - 05/01/2020
GI302,Wednesday,1100 - 1150,MATH304 - Middle/Secondary Math Methods,1,Tsegai,01/13/2020 - 05/01/2020
GI302,Wednesday,1300 - 1350,STAT310 - Intermediate Statistics,1,Hooks,01/13/2020 - 05/01/2020
GI302,Thursday,0800 - 1000,MATH304 - Middle/Secondary Math Methods,1,FINAL EXAM,05/07/2020 - 05/07/2020
GI302,Thursday,1100 - 1250,MATH202 - Elements of Mathematics,2,Zhang,01/13/2020 - 04/17/2020
GI302,Thursday,1400 - 1520,DSCI325 - Management of Structured Data,1,Kerby,01/13/2020 - 05/01/2020
GI302,Friday,0900 - 0950,STAT110 - Fundamentals of Statistics,4,Kerby,01/13/2020 - 05/01/2020
GI302,Friday,1100 - 1150,MATH304 - Middle/Secondary Math Methods,1,Tsegai,01/13/2020 - 05/01/2020
GI302,Friday,1300 - 1350,STAT310 - Intermediate Statistics,1,Hooks,01/13/2020 - 05/01/2020
GI324,Monday,0800 - 0850,MATH313 - Differential Equations,1,Duncan,01/13/2020 - 05/01/2020
GI324,Monday,0800 - 1000,MATH313 - Differential Equations,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI324,Monday,0900 - 0950,MATH212 - Calculus I,3,"Schmidt
Duncan",01/13/2020 - 05/01/2020
GI324,Monday,1000 - 1050,MATH212 - Calculus I,2,Duncan,01/13/2020 - 05/01/2020
GI324,Monday,1030 - 1230,CME460 - Introduction to Finite Element Analysis,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI324,Monday,1100 - 1150,MATH312 - Multivariable Calculus,1,Pascual,01/13/2020 - 05/01/2020
GI324,Monday,1300 - 1350,STAT110 - Fundamentals of Statistics,2,Johnson,01/13/2020 - 05/01/2020
GI324,Monday,1300 - 1500,STAT110 - Fundamentals of Statistics,2,FINAL EXAM,05/04/2020 - 05/04/2020
